first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
David,Raya Martín,6.0,Burnley,Away,360.0,0.0,0.0075,0.7725,4.452500000000001,5.0,0.0,0.0,0.5,0.5,0.75,2.75,0.0,1.25,10.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Emiliano,Martínez Romero,3.7,Liverpool,Away,360.0,0.0,0.0025,1.2725,2.2575,3.25,0.0,0.0,0.25,0.75,0.0,2.0,0.0,1.25,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin,Dúbravka,4.3,Arsenal,Home,450.0,0.0,0.0,2.3739999999999997,2.2,1.8,0.0,0.0,0.0,3.0,0.0,4.6,0.0,1.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đorđe,Petrović,4.3,Man City,Away,360.0,0.0,0.0,2.17,3.06,3.0,0.0,0.0,0.25,2.25,0.0,4.25,0.0,2.25,10.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Caoimhín,Kelleher,3.7,Crystal Palace,Away,360.0,0.0,0.0,1.185,2.67,2.25,0.0,0.0,0.25,2.0,0.0,1.5,0.0,1.25,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bart,Verbruggen,1.3,Leeds,Home,450.0,0.0,0.002,1.342,2.558,1.4,0.0,0.0,0.0,2.0,0.0,2.8,0.0,0.4,11.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Robert,Lynch Sánchez,2.7,Spurs,Away,270.0,0.0,0.0033333333333333335,1.5033333333333332,2.3699999999999997,3.3333333333333335,0.0,0.0,0.3333333333333333,1.0,0.0,2.6666666666666665,0.0,1.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Filip,Jörgensen,0.0,Spurs,Away,84.0,0.0,0.0,1.917857142857143,2.142857142857143,1.0714285714285714,0.0,0.0,0.0,2.142857142857143,0.0,1.0714285714285714,0.0,2.142857142857143,5.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean,Henderson,1.7,Brentford,Home,450.0,0.0,0.008,1.3,2.296,3.6,0.0,0.0,0.4,0.8,0.0,3.0,0.0,1.0,7.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Jordan,Pickford,2.0,Sunderland,Away,360.0,0.0,0.015,1.6175000000000002,1.895,1.5,0.0,0.0,0.0,1.75,0.0,2.5,0.0,2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernd,Leno,2.3,Wolves,Home,450.0,0.0,0.0,1.6400000000000001,2.4,2.0,0.0,0.0,0.0,2.2,0.0,3.2,0.0,1.0,9.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Karl,Darlow,0.7,Brighton,Away,270.0,0.0,0.0,1.0266666666666666,3.6,2.3333333333333335,0.0,0.0,0.0,1.3333333333333333,0.0,3.0,0.0,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Estella,Perri,0.3,Brighton,Away,90.0,0.0,0.0,2.88,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alisson,Becker,0.0,Aston Villa,Home,270.0,0.0,0.0,1.3266666666666667,3.2533333333333334,3.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,2.0,0.0,1.6666666666666667,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giorgi,Mamardashvili,1.7,Aston Villa,Home,180.0,0.0,0.0,1.875,2.5,2.0,0.0,0.0,0.0,2.5,0.0,4.5,0.0,3.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Trafford,0.0,Bournemouth,Home,180.0,0.0,0.0,1.43,3.38,4.5,0.0,0.0,0.5,1.0,0.0,4.0,0.0,1.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi,Donnarumma,4.7,Bournemouth,Home,270.0,0.0,0.0,0.8666666666666667,2.1999999999999997,3.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Altay,Bayındır,0.0,Nott'm Forest,Away,270.0,0.0,0.013333333333333334,2.1,2.0399999999999996,2.0,0.0,0.0,0.0,2.3333333333333335,0.0,3.3333333333333335,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senne,Lammens,4.7,Nott'm Forest,Away,90.0,0.0,0.0,2.75,2.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick,Pope,4.0,West Ham,Away,360.0,0.0,0.0,0.59,4.39,5.5,0.0,0.0,0.75,0.5,0.5,2.25,0.0,1.5,13.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Matz,Sels,2.3,Man Utd,Home,450.0,0.0,0.002,1.532,3.054,2.2,0.0,0.0,0.0,1.8,0.0,3.8,0.0,1.0,6.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Robin,Roefs,4.3,Everton,Home,450.0,0.0,0.002,1.4380000000000002,4.286,5.4,0.0,0.0,0.4,1.0,1.0,4.4,0.0,1.0,11.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Guglielmo,Vicario,3.3,Chelsea,Home,450.0,0.0,0.002,1.3359999999999999,3.526,5.4,0.0,0.0,0.6,0.6,0.6,3.0,0.0,1.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse,Areola,2.0,Newcastle,Home,270.0,0.0,0.0,1.6633333333333333,3.026666666666667,2.3333333333333335,0.0,0.0,0.0,1.6666666666666667,0.0,3.6666666666666665,0.0,1.3333333333333333,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mads,Hermansen,0.0,Newcastle,Home,180.0,0.0,0.005,0.7050000000000001,3.695,4.0,0.0,0.0,0.5,1.5,0.0,2.5,0.0,1.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Johnstone,2.0,Fulham,Away,270.0,0.0,0.0033333333333333335,1.0233333333333332,2.983333333333333,2.0,0.0,0.0,0.0,1.3333333333333333,0.0,2.0,0.0,2.6666666666666665,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José,Malheiro de Sá,0.0,Fulham,Away,90.0,0.0,0.03,1.29,3.09,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
