team,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,conceded,xpts,wins,draws,loses,pts,npxGD
Aston Villa,1.397009076923077,1.1637802307692307,1.397009076923077,1.046677153846154,,,9.0,5.076923076923077,1.4615384615384615,0.7692307692307693,1.5299615384615384,0.6923076923076923,0.07692307692307693,0.23076923076923078,2.1538461538461537,0.35033192307692307
Everton,1.4453478461538463,1.4909823846153845,1.328244769230769,1.3738793076923075,,,6.384615384615385,6.0,1.2307692307692308,1.3846153846153846,1.3859153846153847,0.3076923076923077,0.3076923076923077,0.38461538461538464,1.2307692307692308,-0.04563453846153845
Bournemouth,1.5695155384615385,0.7331026923076924,1.4524129230769232,0.7331026923076924,,,6.923076923076923,6.461538461538462,1.5384615384615385,1.0769230769230769,1.9435153846153848,0.46153846153846156,0.38461538461538464,0.15384615384615385,1.7692307692307692,0.7193102307692307
Sunderland,1.1260297692307693,1.4098734615384616,1.0089296923076925,1.3513222307692307,,,5.3076923076923075,8.846153846153847,1.6153846153846154,0.7692307692307693,1.246176923076923,0.5384615384615384,0.38461538461538464,0.07692307692307693,2.0,-0.34239253846153844
Crystal Palace,1.932335076923077,1.5073803846153846,1.8152320000000002,1.390277,,,9.307692307692308,5.538461538461538,1.0,1.3846153846153846,1.6333538461538462,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.9230769230769231,0.4249550000000001
Chelsea,2.1151926153846152,1.5828276923076925,1.8809865384615383,1.5242763846153848,,,6.923076923076923,5.923076923076923,1.6923076923076923,1.1538461538461537,1.636823076923077,0.46153846153846156,0.3076923076923077,0.23076923076923078,1.6923076923076923,0.35671015384615384
West Ham,1.3204244615384615,1.7497956153846153,1.2033213846153845,1.5741422307692308,,,4.384615384615385,6.230769230769231,1.3076923076923077,2.076923076923077,1.2491153846153844,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.8461538461538461,-0.3708208461538462
Tottenham,1.3122142307692308,1.4205249999999998,1.3122142307692308,1.4205249999999998,,,6.3076923076923075,7.076923076923077,1.2307692307692308,1.3846153846153846,1.426023076923077,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.7692307692307693,-0.10831076923076922
Arsenal,2.081271692307692,0.6973662461538461,1.9641686153846152,0.6973662461538461,,,9.461538461538462,2.230769230769231,2.3846153846153846,0.6153846153846154,2.2790076923076925,0.7692307692307693,0.15384615384615385,0.07692307692307693,2.4615384615384617,1.2668023692307695
Newcastle United,2.299660076923077,1.3593953846153848,2.006902384615385,1.183741076923077,,,7.538461538461538,6.846153846153846,1.8461538461538463,1.5384615384615385,2.001253846153846,0.5384615384615384,0.15384615384615385,0.3076923076923077,1.7692307692307692,0.8231613076923077
Liverpool,1.8949903076923076,1.0407412307692305,1.8364387692307693,0.982189692307692,,,11.0,5.923076923076923,1.6153846153846154,1.0769230769230769,1.9296538461538462,0.5384615384615384,0.23076923076923078,0.23076923076923078,1.8461538461538463,0.854249076923077
Manchester City,2.2011069230769227,1.1073144615384616,2.0840036153846153,1.0372257692307691,,,9.923076923076923,3.5384615384615383,2.4615384615384617,0.6153846153846154,2.0695,0.7692307692307693,0.15384615384615385,0.07692307692307693,2.4615384615384617,1.0467778461538462
Manchester United,2.1195462307692305,1.0616752307692308,2.0609946923076925,1.0031236923076923,,,8.538461538461538,6.384615384615385,1.9230769230769231,1.1538461538461537,2.0542307692307693,0.6153846153846154,0.23076923076923078,0.15384615384615385,2.076923076923077,1.057871
Burnley,1.0520436923076923,1.8412973846153844,1.0520436923076923,1.7827458461538461,,,4.846153846153846,8.0,0.9230769230769231,1.4615384615384615,0.9006230769230771,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.7692307692307693,-0.7307021538461538
Brighton,1.472753,1.4159121538461539,1.3556498461538462,1.2402576923076922,,,6.6923076923076925,6.923076923076923,1.5384615384615385,1.0769230769230769,1.3946615384615386,0.38461538461538464,0.46153846153846156,0.15384615384615385,1.6153846153846154,0.11539215384615381
Fulham,1.3859392307692309,1.3752093846153846,1.3273875384615386,1.3166576923076923,,,8.0,6.076923076923077,1.6923076923076923,1.2307692307692308,1.3805615384615384,0.5384615384615384,0.15384615384615385,0.3076923076923077,1.7692307692307692,0.010729846153846192
Wolverhampton Wanderers,1.1584592142857144,1.7376749285714286,0.995351642857143,1.5745670714285716,,,5.5,7.285714285714286,0.9285714285714286,2.142857142857143,1.1012142857142855,0.07142857142857142,0.21428571428571427,0.7142857142857143,0.42857142857142855,-0.5792154285714286
Brentford,2.0997567692307695,1.3057324615384616,1.9241036923076924,1.1300781538461537,,,6.461538461538462,6.6923076923076925,1.8461538461538463,1.0,1.8540076923076927,0.5384615384615384,0.3076923076923077,0.15384615384615385,1.9230769230769231,0.7940255384615384
Leeds,1.8661444615384613,1.2722506153846156,1.7490413846153845,1.213698846153846,,,5.076923076923077,5.461538461538462,1.6923076923076923,1.3846153846153846,1.8896538461538464,0.46153846153846156,0.3076923076923077,0.23076923076923078,1.6923076923076923,0.5353425384615385
Nottingham Forest,1.5867014615384616,1.5317112307692307,1.5281506923076924,1.3560566153846154,,,7.0,5.846153846153846,1.0,1.3846153846153846,1.3861615384615387,0.23076923076923078,0.3076923076923077,0.46153846153846156,1.0,0.1720940769230768
