team,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,conceded,xpts,wins,draws,loses,pts,npxGD
Aston Villa,1.939602,1.4371260000000001,1.939602,1.4371260000000001,,,4.6,5.0,2.2,2.0,1.6083199999999997,0.4,0.2,0.4,1.4,0.502476
Everton,1.5405680000000002,1.8416159999999997,1.5405680000000002,1.8416159999999997,,,5.4,8.0,1.6,2.4,1.19664,0.0,0.4,0.6,0.4,-0.301048
Bournemouth,1.9938086000000002,1.5825618,1.8415746000000002,1.4303278,,,7.0,7.4,2.0,0.8,1.6877600000000001,0.8,0.2,0.0,2.6,0.41124680000000013
Sunderland,1.1239574,1.8526821999999998,1.1239574,1.8526821999999998,,,7.4,6.0,1.4,2.2,0.9466999999999999,0.2,0.4,0.4,1.0,-0.7287248
Crystal Palace,1.6834622,1.8704100000000001,1.5312282,1.7181760000000001,,,8.2,9.4,1.0,2.6,1.2410800000000002,0.0,0.4,0.6,0.4,-0.18694779999999994
Chelsea,1.1137078,1.6591308000000002,0.9614738,1.5068968000000003,,,6.4,7.2,0.4,2.2,1.059,0.0,0.2,0.8,0.2,-0.5454229999999999
West Ham,1.0979642,1.5369423999999998,1.0979642,1.3847083999999998,,,6.2,9.8,0.6,1.6,1.0680999999999998,0.2,0.2,0.6,0.8,-0.2867442
Tottenham,1.250628,1.23101,1.250628,1.078776,,,4.6,3.6,1.2,1.0,1.40618,0.4,0.4,0.2,1.6,0.17185199999999998
Arsenal,1.9352198,1.1391769999999999,1.9352198,1.1391769999999999,,,11.2,6.8,1.4,0.4,1.7770800000000002,0.8,0.0,0.2,2.4,0.7960428
Newcastle United,1.8788334,1.659808,1.8788334,1.659808,,,9.6,9.0,1.6,1.2,1.56518,0.4,0.2,0.4,1.4,0.21902539999999995
Liverpool,1.2071282,1.8712048000000003,1.2071282,1.8712048000000003,,,6.6,6.0,2.0,2.0,0.9170000000000001,0.4,0.2,0.4,1.4,-0.6640765999999999
Manchester City,2.75446,1.2095791999999999,2.75446,1.2095791999999999,,,15.6,2.8,2.4,0.8,2.18688,0.8,0.2,0.0,2.6,1.5448808
Manchester United,1.9323968,1.338968,1.9323968,1.338968,,,7.4,9.4,1.8,1.0,1.6514599999999997,0.8,0.2,0.0,2.6,0.5934287999999999
Burnley,0.7834030000000001,1.985744,0.7834030000000001,1.985744,,,4.0,11.2,0.8,2.2,0.5743,0.0,0.2,0.8,0.2,-1.202341
Brighton,1.996582,1.2502235999999998,1.996582,1.2502235999999998,,,10.0,3.8,1.8,1.2,1.888,0.4,0.2,0.4,1.4,0.7463584000000001
Fulham,1.0911142,1.9655438,0.9388812,1.9655438,,,8.4,6.0,0.4,1.0,0.9982200000000001,0.2,0.4,0.4,1.0,-1.0266625999999999
Wolverhampton Wanderers,1.0610979999999999,1.8508828000000002,1.0610979999999999,1.5464238,,,4.0,8.0,0.4,1.8,0.96266,0.0,0.4,0.6,0.4,-0.48532580000000014
Brentford,1.6257536000000001,1.9180304,1.4735196,1.7657964,,,6.6,9.8,1.2,1.4,1.3974199999999999,0.2,0.4,0.4,1.0,-0.2922768000000001
Leeds,1.8974052000000001,1.3279028,1.5929452,1.3279028,,,4.6,8.0,2.0,0.8,1.6933,0.6,0.4,0.0,2.2,0.2650424
Nottingham Forest,1.7206579999999998,1.8646102,1.5684239999999998,1.7123762,,,6.6,10.6,3.0,1.2,1.4446800000000002,0.6,0.2,0.2,2.0,-0.14395220000000003
