first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Gabriel,dos Santos Magalhães,2.7,Bournemouth,Away,450.0,0.096,0.12000000000000002,0.48599999999999993,7.192,8.0,0.2,0.4,0.4,0.8,1.6,0.0,0.8,9.0,1.2,1.2,10.2,0.0,0.0,0.0,0.2,0.0
William,Saliba,2.0,Bournemouth,Away,405.0,0.035555555555555556,0.04,0.37777777777777777,5.044444444444445,4.444444444444445,0.0,0.0,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,4.666666666666667,4.666666666666667,0.4444444444444444,5.111111111111111,0.0,0.0,0.0,0.0,0.0
Riccardo,Calafiori,2.3,Bournemouth,Away,381.0,0.06850393700787402,0.025984251968503937,0.5503937007874016,4.769291338582677,3.3070866141732282,0.0,0.0,0.47244094488188976,0.7086614173228346,0.0,0.0,0.0,6.141732283464567,3.3070866141732282,1.889763779527559,8.031496062992126,0.0,0.0,0.0,0.47244094488188976,0.0
Jurriën,Timber,3.5,Bournemouth,Away,450.0,0.236,0.030000000000000006,0.8019999999999999,5.426,3.6,0.0,0.0,0.4,1.0,0.0,0.0,0.4,2.6,4.0,2.8,5.4,0.0,0.0,0.0,0.0,0.0
Benjamin,White,2.8,Bournemouth,Away,160.0,0.185625,0.151875,1.7043750000000002,3.5493750000000004,3.9375,0.0,0.0,0.5625,1.125,0.0,0.0,0.0,4.5,5.0625,2.8125,7.3125,0.0,0.0,0.0,0.0,0.0
Cristhian,Mosquera,0.2,Bournemouth,Away,220.0,0.0,0.012272727272727272,0.7036363636363636,3.358636363636364,1.6363636363636362,0.0,0.0,0.0,1.227272727272727,0.0,0.0,0.0,4.909090909090908,1.6363636363636362,2.454545454545454,7.363636363636363,0.0,0.0,0.0,0.40909090909090906,0.0
Piero,Hincapié,4.7,Bournemouth,Away,270.0,0.0,0.15333333333333335,1.05,5.14,4.666666666666667,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,1.3333333333333333,9.0,4.333333333333333,2.0,11.0,0.0,0.0,0.0,0.3333333333333333,0.0
Matty,Cash,2.7,Nott'm Forest,Home,450.0,0.024,0.13,1.672,1.534,1.4,0.0,0.2,0.0,1.8,0.0,0.0,0.0,4.2,1.8,2.0,6.2,0.0,0.0,0.0,0.6,0.0
Lucas,Digne,0.7,Nott'm Forest,Home,347.0,0.0,0.05965417867435158,1.6703170028818441,2.596253602305475,2.07492795389049,0.0,0.25936599423631124,0.0,2.07492795389049,0.0,0.0,0.0,3.371757925072046,2.3342939481268012,1.8155619596541785,5.187319884726224,0.0,0.0,0.0,0.0,0.0
Ezri,Konsa Ngoyo,1.7,Nott'm Forest,Home,450.0,0.054000000000000006,0.044,2.068,2.2560000000000002,1.6,0.0,0.0,0.0,2.2,0.0,0.0,0.4,5.4,2.8,0.6,6.0,0.0,0.0,0.0,0.0,0.0
